sim_id,n_ex,n_in,eib,psi_duration,psi_rise,psi_decay,psi_maxval,offset_linear,exp_linear,mae_linear,r2_linear,offset_dexp,exp_0,knee,exp_1,mae_dexp,r2_dexp
0,101,9899,0.010203050813213457,0.0208,0.0016,0.0192,278159.7679891161,4.34971484650463,1.9217711105056186,0.01285994517612203,0.9918005186115203,5.20239319639555,0.19481109664102664,985.1952132171023,2.1617483544645033,0.025988243488346944,0.9981265996717332
1,9708,292,33.24657534246575,0.0049,0.0005,0.004399999999999999,290182.7601215593,2.186774904760661,0.8709693522287876,0.019287498398807654,0.9165401013199753,4.9113617294690135,0.13911279113626368,6761.01801307469,1.99770766272824,0.01610108717094122,0.9973683632401661
2,1378,8622,0.15982370679656693,0.02,0.0014,0.018600000000000002,269646.14642257424,4.252207078705767,1.8822475035215767,0.01628903816597718,0.988198211594766,5.017704124446342,0.18030814645019652,754.9486803638596,2.0854529062965748,0.024235019079791652,0.9981525311933583
3,9847,153,64.359477124183,0.0046,0.0005,0.0040999999999999995,289962.5225100761,1.9789752751800176,0.7680455429048925,0.021350050507213652,0.8804455274574956,5.0349470645323136,0.11485411628213411,11012.272069661301,2.0722627550691834,0.01670755023470282,0.9971152769418203
4,3298,6702,0.4920919128618323,0.0184,0.001,0.0174,260163.86919614163,3.7703652757271664,1.6382634674857468,0.016735517179010867,0.981087644004141,3.577608072067927,-112.51384688811956,42.33508431355947,114.12466838377844,0.10661296728540341,0.9509649637879996
5,9884,116,85.20689655172414,0.0046,0.0005,0.0040999999999999995,288793.43014924775,1.9620177405043213,0.7531145901473504,0.019432461151282446,0.8993205763765837,4.9682145108490765,0.08396079018742884,10346.253220387629,2.0783738191713073,0.016809771847154074,0.9973172709649748
6,7809,2191,3.5641259698767684,0.008,0.0006,0.0074,272150.16092401854,2.6725623286720275,1.105688482023944,0.012922853696578345,0.9766974721359752,2.797880911501499,-100.91128365668737,22.78227987261706,102.15979995898981,0.10044317880389458,0.9363978755702572
7,2017,7983,0.2526619065514218,0.0196,0.0012,0.0184,262860.81869849394,4.288158149875648,1.9105392093418556,0.018442424367572825,0.9835164432761326,4.924491167310379,0.2098485864023622,619.4644449428704,2.011520171462559,0.02418292115689165,0.9981085300515071
8,306,9694,0.03156591706210027,0.0203,0.0015,0.018799999999999997,277663.0812997421,4.272396960796549,1.8840008741684922,0.013388077925129426,0.9913686395898843,5.21336695461361,0.2735687501278411,917.5278390761172,2.08227181130221,0.02611085318719028,0.9980157659261727
9,9747,253,38.52569169960474,0.0049,0.0005,0.004399999999999999,288900.0620866008,1.976663877684031,0.7640553753976458,0.017254992482290656,0.9126585132521035,4.794724349555791,0.11957404852979635,5607.998645547435,1.9696330625790475,0.018964422379576917,0.9966478629121542
10,9731,269,36.174721189591075,0.0049,0.0005,0.004399999999999999,288579.2442418931,2.011027681494579,0.7788084456826103,0.019287859175030043,0.9033863569338169,4.913328310462092,0.11810654603334432,7432.141322957526,2.020776710011811,0.018846747045969774,0.9965882827247666
11,702,9298,0.07550010755001076,0.0205,0.0015,0.019,271664.9179120042,4.244963832054232,1.8729831174317713,0.016244500101386596,0.9873677754516211,5.1043994754160025,0.18601114607965194,857.6655494991045,2.1234896491099096,0.025839291499564578,0.998042630409061
12,6250,3750,1.6666666666666667,0.0132,0.0007,0.0125,264324.74682015966,3.253899161079005,1.4004758083920503,0.016470746329471254,0.9775851073587074,4.326222884274482,0.2190466779959192,287.7399165879166,1.7108421387377253,0.02504764140179774,0.9972100572090477
13,3290,6710,0.4903129657228018,0.0187,0.001,0.0177,260956.58991574735,3.811704385483477,1.6600529001468598,0.01701191225169734,0.981756308269333,4.720840902306489,0.18226873458138948,470.06924890365116,1.939869110330272,0.025872700659200294,0.9976943809191086
14,206,9794,0.021033285685113336,0.0209,0.0015,0.019399999999999997,276528.11826770625,4.294782298376187,1.894518185359133,0.0152322601924458,0.9893393227128071,5.2197210249314105,0.23614302016517535,1007.8016813427787,2.126047576236776,0.02584621722436234,0.9981272017205272
15,9841,159,61.893081761006286,0.0048000000000000004,0.0005,0.0043,289375.4976563438,1.8662280574171148,0.7039261019050382,0.018452542738679297,0.8978371532375886,2.060555050540535,-86.61008834491429,16.388909301892426,87.52101388204157,0.1272207491506415,0.8403557867218221
16,7878,2122,3.71253534401508,0.0081,0.0006,0.0075,274135.2593303715,2.721372647249543,1.1352669313246686,0.014331747784850548,0.9719632481823071,4.369828841472568,0.29909665731260776,472.78479021700895,1.631078692478618,0.025678824225159554,0.9960330317508992
17,7153,2847,2.5124692658939236,0.0091,0.0006,0.0085,268000.6081430365,2.781009605094532,1.1510966013928383,0.011022200855792866,0.9840202109218564,2.9482661441239126,-100.42930210147188,22.171476850795496,101.74617591234926,0.0986460663149983,0.9415895642849554
18,9750,250,39.0,0.004700000000000001,0.0005,0.004200000000000001,289360.2255657095,1.9428448103974083,0.7411309260780464,0.01743019333690565,0.9123908935972793,4.957264392254577,0.14623866567886368,7680.110570166794,2.0081716734514226,0.016947634289837355,0.9972454750447617
19,1718,8282,0.20743781695242694,0.0194,0.0013,0.0181,261627.34397793657,3.9500623796403387,1.7233395514989573,0.016235617693108804,0.9851428781042563,4.940339160368971,0.24164066354060526,593.6821181235018,1.988467469481923,0.024755744811601244,0.9981387399771204
20,1150,8850,0.12994350282485875,0.02,0.0014,0.018600000000000002,270655.93995230185,4.293410465260974,1.9046798588612968,0.01514587183238377,0.9898982851839884,5.0664243571757455,0.1877385462423745,848.805581492755,2.100646826112338,0.027956934184936146,0.9976894568800461
21,9548,452,21.123893805309734,0.0049,0.0005,0.004399999999999999,288224.9311916279,2.0574741181418887,0.8006751703768273,0.014492664416561867,0.945204962733501,5.062557371627114,0.21277472952934987,7373.131049149408,1.986915109618069,0.020039284761597335,0.9964586201905792
22,116,9884,0.011736139214892756,0.0198,0.0015,0.0183,278363.68021651753,4.448940912238221,1.9759291992465455,0.017454453682685684,0.987371128449961,5.211351518425369,0.18124015435820062,1093.1218247300262,2.178008124227531,0.02544648161561565,0.9982082700292997
23,344,9656,0.035625517812758904,0.0204,0.0015,0.0189,273594.25164421514,4.383213572778645,1.9408389875030647,0.0152503478491837,0.9900572502547024,5.198935049284869,0.2107762135127001,1049.4897463802233,2.142809131229274,0.02278565311076665,0.9984224806391471
24,9504,496,19.161290322580644,0.005000000000000001,0.0005,0.0045000000000000005,286720.72898251866,2.339214942500236,0.9631010506836467,0.012145050939078972,0.9717810910181953,4.8483340162105915,0.21280181062129355,4227.250221472411,1.89699862330756,0.01940363035342051,0.9966782291330174
25,9688,312,31.05128205128205,0.0049,0.0005,0.004399999999999999,289436.8291104243,2.0954274241967976,0.8258267976504774,0.013545635753864272,0.9585313086288949,2.1505271787459552,-94.19990502208904,15.810058945394262,95.15102508003552,0.12201224541071075,0.8622105741635238
26,9480,520,18.23076923076923,0.0051,0.0005,0.0046,287150.81384741,2.1491325166468114,0.8461165969619977,0.016274765393784436,0.9444098762338177,4.916459335417995,0.22834725776924863,4579.963765915228,1.9103385531626893,0.018917703892016368,0.9966305046434255
27,125,9875,0.012658227848101266,0.0202,0.0015,0.018699999999999998,275768.319560271,4.389304526962188,1.9488199457367374,0.015932888958529786,0.9877943259027298,5.277684595709932,0.29000848707888827,1010.4354465047547,2.0987831560754007,0.026636053302937293,0.9979386801379683
28,2451,7549,0.32467876539939067,0.0197,0.0012,0.0185,263499.3177212795,3.915050403025902,1.7035571737207864,0.022686562916463874,0.9703803162228447,4.870582938949548,0.21448211155225932,556.2256339815581,1.9786640162262594,0.024205050723152804,0.9980327438750263
29,4237,5763,0.7352073572791948,0.016,0.0009,0.0151,260458.30623616974,3.745681555104407,1.642256954918958,0.017962993611062978,0.9788407510493587,3.438658108484532,-114.94938950861057,42.81911934258226,116.49257786206796,0.10077001277439576,0.9502248996077016
30,2507,7493,0.33457894034432134,0.0188,0.0011,0.0177,262080.84855745579,4.005231245229627,1.761996275551029,0.011310973502266987,0.992728414890018,4.809513786308786,0.19911362872321725,494.1723458767283,1.9673678927648464,0.02331164475199603,0.9981254336627925
31,9560,440,21.727272727272727,0.0049,0.0005,0.004399999999999999,286141.24434460094,2.091781615568492,0.8208456054521123,0.017473042709878706,0.9283086756439464,5.073976702822114,0.20366449738721426,7877.439225922096,2.003532879318067,0.01764913465448023,0.9971807462938598
32,4284,5716,0.7494751574527642,0.0166,0.0009,0.0157,258375.67414493478,3.689764509203172,1.6170372395502262,0.01729451168744584,0.9786131783217592,2.001913741063338,2.030593194365497,0.0030132984392228315,-1.8489650266467264,0.024187005449535604,0.9977641152256568
33,8134,1866,4.359056806002144,0.0071,0.0006,0.006500000000000001,277712.3097013312,2.702580410310224,1.1326319676531749,0.016485486675292708,0.9681015850683498,2.701693578082647,-99.39165340197235,19.312242387354985,100.59205498082301,0.09953363450295856,0.9336678496179563
34,6630,3370,1.967359050445104,0.0108,0.0007,0.010100000000000001,267275.164150246,3.1963440638766394,1.3760671466551737,0.016717453065154618,0.9762723335915005,3.051349446019122,-123.018261745075,24.445302545992703,124.38130786308764,0.09386193217982215,0.9482277490822707
35,441,9559,0.04613453290093106,0.021,0.0015,0.0195,270743.82720063784,4.335030685602826,1.9208570703709253,0.01420608865329994,0.9899433599703843,5.104724348156006,0.18784331850767955,827.6505506979074,2.123954145021081,0.022717457693543035,0.9984223655953592
