sim_id,n_ex,n_in,eib,psi_duration,psi_rise,psi_decay,psi_maxval,offset_linear,exp_linear,offset_dexp,exp_0,knee,exp_1
28,229,9771,0.02343670044007778,0.0206,0.0015,0.0191,277512.45094563265,4.086412902004886,1.7734148524735904,5.23238566268178,0.24345414488219944,1016.4709775649617,2.123448986940393
29,9322,678,13.749262536873156,0.005300000000000001,0.0005,0.0048000000000000004,284128.3655151932,2.249299656444926,0.8996278266826727,4.820830150738564,0.24134971100360733,3255.3675280532,1.8621039834755146
30,7426,2574,2.885003885003885,0.0087,0.0006,0.0081,273311.1741228294,2.844870149256387,1.1876071215095758,4.3897429924000635,0.2835572977830794,451.7112535161516,1.659549664491522
31,7192,2808,2.561253561253561,0.0088,0.0006,0.0082,268999.51160467084,2.8883413950505235,1.2143924643544404,2.94308516089332,-109.89201254523051,23.255854963890084,111.20692224192068
32,516,9484,0.05440742302825812,0.0206,0.0015,0.0191,273266.09217539226,4.306585960702521,1.9040373848599481,5.161831771735481,0.23189739557348604,887.8860565355074,2.1029050378512273
33,9879,121,81.64462809917356,0.0046,0.0005,0.0040999999999999995,290758.79329015804,2.05298683516369,0.8139054325197148,4.817548141031819,0.07785314811185229,7428.331392946004,2.0195976542782943
34,446,9554,0.04668201800293071,0.0216,0.0015,0.0201,273284.76551614783,4.32750123147037,1.91286404013715,5.1922881753132915,0.2615261172262028,892.6816781178188,2.0877839049720186
35,9888,112,88.28571428571429,0.004700000000000001,0.0005,0.004200000000000001,289300.6967450272,2.248973270193212,0.9149029824875085,4.8815704103114435,0.06741661611200839,8844.952494336447,2.0578184351130924
36,9842,158,62.29113924050633,0.0048000000000000004,0.0005,0.0043,289536.39572844,1.8723769451580232,0.6989838846262147,4.974915485072854,0.08666415142682281,10174.58720557174,2.0799598118939824
37,9808,192,51.083333333333336,0.004700000000000001,0.0005,0.004200000000000001,288721.42383465264,2.0455968313096515,0.8010290646075767,4.852599933508454,0.10963172139349955,6955.4147627652255,2.002684997520877
38,257,9743,0.026377912347326286,0.0214,0.0016,0.019799999999999998,278931.1116926383,4.391559492153466,1.9397767711892033,5.301089330772486,0.2949091341293356,1036.1229399578522,2.102652153745431
39,8800,1200,7.333333333333333,0.0059,0.0006,0.0053,282190.32073335286,2.318690221326525,0.9284049950750246,4.763595472529159,0.32711129718277004,1766.13391615061,1.7528320339532724
40,149,9851,0.015125367982945894,0.0209,0.0016,0.019299999999999998,281420.7314855958,4.395734533217338,1.9419915424333045,5.276284696662601,0.25317299034131435,1092.1146493793897,2.13240779228831
41,6732,3268,2.0599755201958385,0.0111,0.0007,0.010400000000000001,266478.8025499555,3.3874829819392738,1.482292849021533,4.369414484979233,0.25662021084240016,363.8115375000214,1.6870454923862679
42,3847,6153,0.6252234682268812,0.0168,0.001,0.015799999999999998,259075.84656196643,3.7349871822995633,1.6286935576621822,4.719399391007793,0.24285351069712735,475.83163255209894,1.8757632515015383
43,3209,6791,0.4725371815638345,0.0176,0.001,0.0166,259333.9715731643,3.8873741451835304,1.708706110975133,3.564300007626822,-74.94239253775301,45.27887344757407,76.5476325137881
44,5143,4857,1.0588840848260244,0.0139,0.0008,0.013099999999999999,260915.9044899063,3.6798704212856608,1.6144287378674143,4.500939245517686,0.21514792351496378,352.9078357567229,1.799418466169551
45,9883,117,84.47008547008546,0.004700000000000001,0.0005,0.004200000000000001,288045.5554170275,1.835647639362354,0.6855862584966739,4.907188667279884,0.07795997708010924,9225.97142173555,2.058261494486818
46,9305,695,13.388489208633093,0.0052,0.0005,0.004699999999999999,284586.5772899552,2.3693393854524025,0.9713909203572892,4.829489405208198,0.2518768289112383,3246.1959145758656,1.8540989512318535
47,201,9799,0.020512297173180937,0.0211,0.0016,0.0195,278819.4624417053,4.389943864133956,1.939364411051947,5.2703671812920545,0.25220845614546694,1097.4464775306615,2.1318835487064365
48,9696,304,31.894736842105264,0.004700000000000001,0.0005,0.004200000000000001,287493.06620798877,2.0203603903769345,0.7900238410613586,4.875566279095399,0.1504782882921687,6164.198508170341,1.9724887642812583
49,199,9801,0.02030405060708091,0.0203,0.0016,0.018699999999999998,277680.8841506183,4.1878439102756815,1.8353118263412789,5.271799404096703,0.2784495741018339,1026.8887078363414,2.1071448165188436
50,9794,206,47.54368932038835,0.0048000000000000004,0.0005,0.0043,288710.25315569335,1.87124892435445,0.7038234015106165,4.965257386721708,0.1456643258486721,8022.670660850255,2.0129559069878398
51,9855,145,67.96551724137932,0.004700000000000001,0.0005,0.004200000000000001,290177.1260407609,1.994125636217446,0.7757664877848611,4.756578939414234,0.058848687068699536,6607.953878481183,2.0139354625628854
52,9667,333,29.03003003003003,0.0048000000000000004,0.0005,0.0043,289148.9186587977,2.0751627137470248,0.8118561432894491,5.00855393367908,0.1725410427894562,7652.703491230055,2.0032249040133023
